Table A1: GPS Stations in Iran and Oman, their locations, velocities (mm/year) and their 1 sigma uncertainties with respect to Eurasia-fixed frame (EURA_I08). Cor is the correlation coefficient between E and N velocities. 
-------------------------------------------------------------------------
    Site   Long(°E)  Lat(°N)    Evel   Nvel    SigVe   SigVn    Cor
    MEHR   52.1570   35.8680   -1.87    8.87    0.52    0.52    0.01 
    MF02   51.7970   35.8010   -1.12   10.35    0.33    0.33    0.00 
    MF07   52.0080   35.8970   -0.57    8.72    0.33    0.34    0.00 
    MF09   51.8330   36.2050   -2.24   10.22    0.36    0.36    0.00 
    MF10   51.3040   36.3940   -2.72   11.42    0.46    0.47   -0.00 
    MF12   51.3150   36.1500   -1.32   11.97    0.54    0.54    0.01 
    MF15   51.6130   35.9880   -2.55   11.60    0.33    0.33   -0.01 
    PLOR   52.0640   35.8500   -2.47    9.47    0.23    0.29   -0.00 
    POOL   51.5740   36.4030   -2.51    9.46    0.39    0.33   -0.00 
    RSHT   49.6240   37.3230   -2.19   13.58    0.17    0.41   -0.00 
    SHA1   53.4920   36.6790   -4.80    8.30    0.74    0.76    0.01 
    TN07   51.9940   35.7630   -1.91    9.69    0.47    0.48    0.01 
    GRGN   54.3530   36.8760   -3.72    6.21    0.61    0.61    0.00 
    KORD   54.1990   36.8600   -2.50    6.38    0.36    0.34    0.01 
    MAHM   52.2850   36.5880   -4.04    7.14    0.29    0.26    0.00 
    NKAD   51.3100   36.6850   -3.92    8.72    0.66    0.49    0.00 
    SHIR   57.3080   37.8140   -2.99    3.91    0.44    0.41    0.01 
    TKBN   50.9300   36.7860   -3.40   10.01    0.24    0.26   -0.00 
    AGKA   48.0050   37.1690   -0.89   12.75    0.53    0.54    0.01 
    ARDA   53.8220   32.3130   -1.16   13.84    0.33    0.32   -0.00 
    BADA   48.8140   36.7640   -0.45   11.37    0.35    0.35    0.00 
    BES2   54.8320   29.3630   -0.74   14.12    0.41    0.39    0.00 
    BIJA   47.9300   36.2320   -2.23   13.28    0.35    0.35    0.00 
    DAND   48.1830   36.6070    0.23   11.82    0.66    0.69   -0.01 
    DENA   56.5040   28.5290    4.68   14.36    1.04    0.95   -0.02 
    GHAR   49.8510   35.1400   -2.05   13.40    0.74    0.72    0.00 
    GHOL   57.2170   28.0100    2.12   15.11    0.98    0.89   -0.01 
    HAMD   48.5340   34.8690   -2.63   13.54    0.45    0.44   -0.00 
    HARA   54.6080   30.0790    0.70   13.68    0.41    0.38   -0.00 
    JOZA   48.9520   34.2560   -3.54   15.56    0.73    0.70    0.00 
    KERM   57.1190   30.2770    0.47   16.05    0.53    0.45    0.00 
    KHO2   54.1260   29.9230   -1.27   14.63    0.41    0.39    0.01 
    KHON   50.4580   33.1570   -2.86   13.23    0.75    0.72    0.01 
    KHOR   47.1230   37.3680   -2.99   13.18    0.55    0.57    0.01 
    KRMD   49.2110   36.1960   -2.40    9.75    0.61    0.61    0.00 
    KSHA   51.2550   34.1500   -2.84   13.04    0.40    0.38   -0.00 
    MIAN   46.1620   36.9080   -2.43   13.74    0.37    0.35    0.00 
    QOMS   51.7990   32.2500   -2.61   14.10    0.74    0.70    0.00 
    SHAB   45.8870   38.2280    1.29   12.19    0.37    0.37    0.01 
    SHAH   50.7480   32.3670   -2.37   12.84    0.40    0.37   -0.01 
    SHOL   49.6680   33.0730   -0.80   13.82    0.74    0.71    0.00 
    TABZ   46.3430   38.0560   -0.88   13.78    0.52    0.53    0.00 
    TFSH   50.0520   34.6760   -1.71   12.32    0.24    0.24   -0.00 
    ABSD   52.0910   35.6610   -2.08    8.30    0.14    0.19   -0.00 
    AKHT   50.6010   35.5880   -1.86   11.64    0.24    0.18   -0.00 
    ARNG   51.0750   35.9280   -1.78   10.95    0.23    0.21   -0.00 
    BASH   53.0250   35.7050    0.19   10.32    0.76    0.78    0.00 
    BOOM   51.8120   35.7300   -1.78   10.57    0.36    0.34    0.00 
    CHSH   50.9880   35.0880   -1.87   11.08    0.43    0.43    0.00 
    CHSM   50.9890   35.0880   -1.61   12.07    0.18    0.16   -0.00 
    DAMA   52.0590   35.7010   -1.78    9.61    0.38    0.38    0.01 
    FOIM   51.1660   35.4090   -1.68   13.16    0.73    0.74    0.00 
    FOPM   50.8400   35.7650   -1.75   11.69    0.37    0.20   -0.00 
    GHAB   54.9890   36.4300   -0.25   10.18    0.71    0.72    0.01 
    GTCL   51.4100   35.8820   -2.52   11.10    0.55    0.55    0.00 
    HSGD   50.7470   36.0070   -2.14   11.34    0.18    0.21   -0.00 
    KASH   58.4640   35.2930   -0.13    5.74    0.34    0.33   -0.00 
    MF01   51.9550   35.6830   -1.46    9.94    0.42    0.42   -0.00 
    MF03   51.8850   35.6490   -1.56   10.85    0.32    0.32   -0.00 
    MF04   52.1170   35.2580   -2.05   11.62    0.36    0.36    0.00 
    MF05   51.2770   35.4930   -0.82   12.12    0.44    0.43   -0.00 
    MF06   50.5430   35.2270   -1.20   12.03    0.43    0.43    0.00 
    MF13   50.6320   36.0090   -1.30   11.45    0.44    0.44    0.00 
    MF16   51.6650   35.7240   -1.33   11.87    0.33    0.33   -0.00 
    MF17   51.1080   35.7530   -1.60   10.81    0.32    0.33   -0.00 
    MOBA   51.8080   34.9770   -0.00   10.66    0.77    0.76    0.04 
    MOBK   51.7950   35.0530   -1.06   12.21    0.22    0.26   -0.00 
    NEYA   50.0450   36.4010   -2.45   11.28    0.76    0.80   -0.00 
    PISH   51.8850   35.2240   -0.87   10.93    0.52    0.51    0.01 
    PLZI   51.9710   35.6300   -0.71    9.60    0.25    0.31   -0.00 
    ROBA   56.0700   33.3690    0.65   10.44    0.42    0.39    0.00 
    RTCL   51.7110   35.5740   -1.36   10.85    0.30    0.19   -0.00 
    SEMN   53.5640   35.6620   -0.14    8.95    0.42    0.40    0.01 
    SHOR   51.8840   35.2770   -0.91   13.23    0.17    0.16   -0.00 
    SMNN   53.4210   35.5880    0.74    9.61    0.30    0.28   -0.00 
    TANG   52.0430   35.4920   -0.98    9.94    0.36    0.36    0.01 
    TEHN   51.3340   35.6970   -1.23   10.86    0.31    0.30    0.00 
    TEHR   51.3860   35.7470   -0.81   12.87    0.79    0.75    0.01 
    TF01   51.2570   35.8120   -1.77   12.82    0.42    0.42    0.01 
    TF09   51.4250   35.8330   -1.42   12.50    0.50    0.50    0.01 
    TF16   51.5220   35.7740   -1.86   12.30    0.41    0.41    0.01 
    TF20   51.5680   35.8080   -3.36   11.38    0.51    0.52    0.01 
    TLGN   50.7450   36.1440   -2.93   11.76    0.48    0.37   -0.00 
    TN01   51.0000   35.4930   -1.18   13.12    0.70    0.70    0.02 
    TN02   51.1700   35.2030   -0.80   12.90    0.45    0.46    0.01 
    TN03   51.3790   35.3660   -0.91   12.77    0.48    0.49    0.01 
    TN04   51.4090   35.4950   -1.42   13.23    0.46    0.47    0.01 
    TN05   51.5150   35.6330   -0.46   11.35    0.49    0.50    0.01 
    TN06   51.7240   35.5500   -0.60   11.25    0.40    0.40    0.01 
    VRMN   51.6320   35.3440   -0.90   12.66    0.25    0.63   -0.00 
